,0,1,2,3,4
0,-1,0,-1,-1,1
1,0,1,-1,0,1
2,-1,-1,1,1,0
3,1,-1,-1,0,-1
4,1,0,-1,-1,1
5,1,-1,0,1,-1
6,-1,0,-1,0,0
7,0,1,-1,1,0
8,-1,1,1,1,1
9,1,-1,-1,1,-1
10,1,0,-1,1,-1
11,-1,0,0,1,-1
12,0,-1,0,0,0
13,1,1,0,1,0
14,1,-1,-1,0,0
15,-1,0,0,1,-1
16,-1,0,1,1,-1
17,-1,1,1,1,-1
18,0,0,0,0,0
19,1,0,0,-1,0
20,0,-1,1,0,-1
21,0,-1,0,1,0
22,0,1,0,-1,0
23,0,0,-1,1,0
24,-1,0,0,1,0
25,-1,1,-1,0,-1
26,-1,0,-1,-1,-1
27,-1,-1,-1,-1,-1
28,0,-1,-1,1,-1
29,1,0,0,-1,0
30,-1,0,0,1,1
31,1,-1,-1,-1,-1
32,0,1,0,-1,1
33,1,1,0,1,0
34,-1,0,-1,0,0
35,1,0,-1,0,-1
36,1,0,0,0,1
37,0,-1,1,-1,1
38,1,-1,-1,-1,1
39,0,0,0,0,0
40,-1,1,-1,1,0
41,-1,1,-1,1,-1
42,-1,-1,1,0,0
43,0,-1,1,1,0
44,1,-1,1,0,-1
45,-1,-1,1,1,1
46,1,-1,0,0,-1
47,0,0,0,0,0
48,1,0,-1,1,1
49,1,0,1,1,-1
50,0,0,0,1,1
51,-1,1,0,-1,0
52,-1,0,1,1,1
53,0,0,1,0,-1
54,1,-1,0,0,0
55,1,1,1,1,-1
56,1,0,1,-1,0
57,-1,-1,0,-1,0
58,1,0,1,-1,1
59,-1,1,0,-1,1
60,0,0,1,1,1
61,1,0,0,-1,0
62,0,0,1,-1,1
63,-1,-1,1,1,0
64,0,1,1,1,0
65,0,1,1,1,1
66,1,1,0,0,0
67,0,1,1,-1,1
68,-1,0,-1,1,-1
69,0,-1,0,-1,-1
70,0,1,0,1,0
71,0,1,0,0,1
72,-1,0,-1,-1,-1
73,1,0,0,0,1
74,1,-1,0,1,1
75,1,0,0,-1,0
76,0,-1,1,0,-1
77,0,0,1,1,1
78,1,-1,1,-1,0
79,0,1,-1,0,1
80,0,0,1,-1,-1
81,1,1,0,-1,-1
82,0,1,0,1,0
83,-1,1,-1,1,0
84,1,-1,-1,0,-1
85,0,-1,-1,-1,1
86,0,-1,0,0,-1
87,1,1,1,-1,1
88,-1,0,1,-1,0
89,-1,1,0,1,-1
90,1,0,0,1,0
91,0,0,0,0,1
92,1,1,0,0,1
93,1,1,1,0,0
94,0,-1,-1,-1,0
95,1,0,1,0,1
96,1,1,-1,1,0
97,-1,-1,-1,-1,0
98,-1,0,1,-1,0
99,-1,1,1,-1,1
100,-1,1,-1,-1,0
101,0,-1,-1,1,0
102,0,0,1,-1,1
103,0,-1,-1,0,-1
104,0,0,1,-1,-1
105,0,1,-1,-1,1
106,0,1,-1,-1,-1
107,1,1,0,0,0
108,-1,0,1,0,-1
109,0,0,-1,1,1
110,1,-1,0,0,0
111,0,1,-1,0,1
112,0,0,-1,-1,1
113,-1,0,-1,1,1
114,-1,0,1,0,-1
115,0,1,0,-1,-1
116,-1,-1,1,1,1
117,-1,1,1,1,0
118,-1,1,0,0,-1
119,0,0,1,-1,0
120,0,1,1,1,-1
121,0,-1,-1,-1,-1
122,-1,0,1,-1,0
123,0,-1,0,0,0
124,-1,0,-1,0,1
125,0,0,-1,-1,-1
126,1,-1,-1,0,-1
127,-1,0,1,1,1
128,-1,0,1,1,-1
129,-1,0,-1,0,0
130,1,-1,-1,-1,-1
131,0,1,0,1,0
132,1,0,0,-1,-1
133,-1,1,-1,-1,-1
134,0,1,-1,1,-1
135,1,-1,-1,-1,1
136,0,-1,-1,1,-1
137,-1,1,-1,-1,0
138,-1,1,-1,-1,1
139,0,-1,0,-1,-1
140,1,0,-1,0,1
141,1,1,1,0,0
142,1,-1,1,1,0
143,1,1,1,0,0
144,-1,-1,1,0,0
145,0,-1,1,0,-1
146,-1,-1,0,0,1
147,1,0,0,0,-1
148,0,0,0,0,-1
149,1,-1,-1,0,0
150,0,-1,-1,-1,0
151,-1,1,0,1,-1
152,-1,1,-1,1,0
153,0,1,0,-1,1
154,0,0,0,1,-1
155,0,0,1,1,1
156,-1,-1,0,-1,0
157,0,0,-1,-1,0
158,0,-1,0,1,1
159,0,0,0,0,1
160,0,0,-1,0,1
161,1,-1,0,1,1
162,1,0,-1,1,1
163,0,0,0,-1,-1
164,0,0,1,0,1
165,-1,1,0,0,0
166,1,-1,1,0,0
167,0,1,0,0,1
168,-1,-1,-1,0,-1
169,-1,-1,-1,-1,-1
170,0,1,0,1,-1
171,0,1,-1,1,0
172,0,-1,0,-1,-1
173,-1,-1,1,-1,-1
174,-1,0,0,0,1
175,0,-1,-1,1,0
176,-1,-1,-1,0,1
177,1,0,-1,1,-1
178,1,0,-1,-1,-1
179,1,1,-1,1,1
180,0,0,0,1,-1
181,0,1,1,1,-1
182,1,0,-1,1,-1
183,0,-1,0,1,1
184,0,0,0,-1,1
185,1,0,1,1,-1
186,0,1,1,-1,0
187,1,1,-1,-1,0
188,-1,0,1,0,1
189,-1,0,0,-1,1
190,0,0,-1,0,-1
191,-1,1,0,0,0
192,-1,0,0,1,-1
193,-1,-1,-1,1,1
194,0,-1,-1,-1,-1
195,0,0,0,1,-1
196,1,-1,-1,1,-1
197,1,1,1,1,0
198,1,0,-1,1,1
199,-1,0,1,0,-1
200,1,1,1,-1,0
201,0,-1,1,1,-1
202,-1,0,0,1,-1
203,1,0,1,-1,0
204,0,1,0,1,1
205,-1,-1,0,0,0
206,0,-1,0,-1,-1
207,1,1,1,-1,-1
208,-1,-1,-1,1,0
209,0,-1,-1,0,-1
210,-1,1,0,-1,1
211,0,-1,1,0,-1
212,0,1,1,1,1
213,-1,0,0,-1,-1
214,0,0,1,0,0
215,0,-1,0,-1,-1
216,0,1,1,0,0
217,1,1,1,1,0
218,-1,-1,1,-1,1
219,1,1,1,-1,1
220,0,-1,-1,0,0
221,-1,1,-1,-1,0
222,-1,-1,0,1,0
223,0,0,1,0,-1
224,1,-1,1,0,1
225,-1,0,1,1,0
226,0,0,1,0,1
227,-1,1,-1,1,-1
228,0,1,-1,-1,0
229,-1,-1,1,0,1
230,0,1,0,0,1
231,1,0,0,-1,0
232,-1,1,0,-1,1
233,-1,0,-1,0,1
234,0,0,1,-1,-1
235,0,-1,1,-1,0
236,-1,1,0,1,-1
237,-1,1,1,1,0
238,0,-1,0,0,-1
239,1,-1,-1,0,-1
240,0,1,-1,0,-1
241,-1,1,-1,-1,-1
242,1,0,0,0,0
243,-1,1,-1,0,-1
244,0,-1,-1,1,-1
245,-1,0,0,-1,-1
246,-1,-1,-1,0,1
247,0,-1,0,0,-1
248,0,0,-1,0,1
249,1,0,1,0,-1
250,-1,0,0,0,-1
251,-1,-1,-1,-1,0
252,0,-1,1,-1,1
253,-1,-1,0,1,-1
254,-1,0,-1,-1,1
255,-1,1,-1,1,0
256,-1,1,0,-1,0
257,0,-1,0,0,1
258,1,-1,0,-1,1
259,0,0,-1,1,0
260,0,-1,-1,1,0
261,-1,0,1,-1,0
262,1,1,-1,0,1
263,0,1,0,-1,1
264,0,0,-1,1,0
265,1,0,-1,-1,1
266,-1,-1,-1,1,-1
267,1,0,0,1,-1
268,-1,0,1,0,-1
269,1,-1,-1,1,-1
270,-1,-1,0,0,0
271,0,0,-1,1,0
272,-1,1,0,0,1
273,-1,-1,0,-1,1
274,1,0,0,-1,-1
275,-1,0,1,-1,-1
